array_length,c_timing,python_timing
64,0.01,0.030279159545898438
128,0.03,0.017881393432617188
256,0.11,0.022172927856445312
512,0.54,0.08916854858398438
1024,2.29,0.08916854858398438
2048,7.03,0.2758502960205078
4096,28.59,0.37598609924316406
8192,108.99,1.1870861053466797
16384,437.93,2.115011215209961
32768,1757.37,7.586002349853516
65536,6979.8,13.718128204345703
131072,27947.01,41.83506965637207
